word,image_url,description,examples,level,is_favorite,needs_review,last_seen,created_at,video_url,category
Home,,"Touch fingertips to mouth, then move to cheek",I'm going home now.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051164,2025-07-02T14:53:25.051166,https://drive.google.com/file/d/1348hkDG7eMmmoV5sJ2EKvJ7g960AuGJ4/view?usp=sharing,BASIC
Bathroom,,Make 'B' handshape and shake it side to side,The bathroom is upstairs.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051169,2025-07-02T14:53:25.051171,https://drive.google.com/file/d/1OxmZKYsMe1YUE87HooNl9g9UtvXyAC6R/view?usp=sharing,BASIC
Food,,Bring fingertips to mouth several times,The food smells delicious.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051175,2025-07-02T14:53:25.051177,https://drive.google.com/file/d/1GYYzJm_4iYNC0dGAeRHVDOsWDdyp40A2/view?usp=sharing,BASIC
Sleep,,"Place hand near face, tilt head as if sleeping",I need to sleep early tonight.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051180,2025-07-02T14:53:25.051182,https://drive.google.com/file/d/1bxGSdPHBlFB5112n-QHAyfrhkCnMKN8b/view?usp=sharing,BASIC
Wake Up,,"Place hands near closed eyes, then open them and move hands away",I wake up at 6 AM.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051185,2025-07-02T14:53:25.051187,,BASIC
Stop,,Hold up flat hand with palm facing forward,Stop! Don't go there.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051190,2025-07-02T14:53:25.051192,https://drive.google.com/file/d/1NehPMO_t7lHoQkQTDGOoyd8N5Fla0cxF/view?usp=sharing,BASIC
Go,,Point index fingers forward and move them away from body,Let's go to the park.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051195,2025-07-02T14:53:25.051197,https://drive.google.com/file/d/1rkAcwNOBRFbcG2hkJCU3Kw4BHnklCwBW/view?usp=sharing,BASIC
Wait,,"Hold up both hands with palms facing forward, wiggle fingers",Please wait for me.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051200,2025-07-02T14:53:25.051202,https://drive.google.com/file/d/1YsXIl_I3MEQOsnCfLaAV1Bwmuzms4n1Y/view?usp=sharing,BASIC
Come,,"Extend hand forward, then bring it back toward body","Come here, please.",beginner,FALSE,FALSE,2025-07-02T14:53:25.051205,2025-07-02T14:53:25.051208,https://drive.google.com/file/d/1q1WGTXFnwZYWF4EEtzvxloHZIBXSPg_R/view?usp=sharing,BASIC
Sit,,Two fingers of right hand sit on left palm,Please sit down.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051214,2025-07-02T14:53:25.051217,https://drive.google.com/file/d/1BrNdT2EB7D4aXnEOFt-knIHMC5lLGk2N/view?usp=sharing,BASIC
Stand,,Two fingers stand upright on left palm,Please stand up.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051223,2025-07-02T14:53:25.051226,https://drive.google.com/file/d/1Y0CgbACOry-zOe6nKcRPSMRTGBuG2BiV/view?usp=sharing,BASIC
Walk,,"Both hands flat, alternate moving them forward like walking",Let's walk to the store.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051232,2025-07-02T14:53:25.051235,https://drive.google.com/file/d/1CN8YMKSS4ecHjB80SyGY5kNt_BCqutZ4/view?usp=sharing,BASIC
Run,,"Hook index fingers, move them quickly forward",I like to run in the morning.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051238,2025-07-02T14:53:25.051240,https://drive.google.com/file/d/1IJCNSlfN0DKbkXEqnZgtgWcPt0eRugBJ/view?usp=sharing,BASIC
Dance,,"Right hand over left palm, swing right hand back and forth",She loves to dance.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051243,2025-07-02T14:53:25.051245,https://drive.google.com/file/d/1NaLHb6JKL-Ay9m_Rmt-hwx8HoE9HZH9C/view?usp=sharing,BASIC
Sing,,Wave hand back and forth near mouth,He can sing very well.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051248,2025-07-02T14:53:25.051250,https://drive.google.com/file/d/1xTLXDsnQHnQKSqhOSEbVm7T_jW7vtJYI/view?usp=sharing,BASIC
Play,,Make 'Y' handshapes and twist them back and forth,Children love to play.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051253,2025-07-02T14:53:25.051255,https://drive.google.com/file/d/19gGJAIiecPE9sb53JZEBg09I2Oh9zR7x/view?usp=sharing,BASIC
Read,,"Hold left hand flat, move right index finger down the palm",I read books every evening.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051258,2025-07-02T14:53:25.051260,https://drive.google.com/file/d/1ekNIeuO_q3A68dx5e9ualTLYt7Boev55/view?usp=sharing,BASIC
Write,,Pretend to hold a pen and write on left palm,Please write your name here.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051263,2025-07-02T14:53:25.051265,https://drive.google.com/file/d/1zwdUSesGN24U80xedlYHar6GzHHS7u98/view?usp=sharing,BASIC
Listen,,Cup hand behind ear,Listen to the music.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051268,2025-07-02T14:53:25.051270,https://drive.google.com/file/d/13Ka0q6mmA0LYu0SuoL5T8I0l-GrmpcT1/view?usp=sharing,BASIC
Look,,Point index finger from eye toward object,Look at the beautiful sunset.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051273,2025-07-02T14:53:25.051275,https://drive.google.com/file/d/1zwFHx5VqpXc-Hfj-E73m2u1sGy9zH_MF/view?usp=sharing,BASIC
Buy,,"Place money in palm, then move hand forward",I want to buy a new car.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051278,2025-07-02T14:53:25.051280,https://drive.google.com/file/d/1uqjhpv_NQosgupAKDzmvkqUS3fTAkmN2/view?usp=sharing,BASIC
Sell,,"Hold object in palms, then move hands forward",They sell fresh vegetables.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051284,2025-07-02T14:53:25.051286,https://drive.google.com/file/d/1xpk0RSeyOyqPkSWhAr54e7AjLvXKN08B/view?usp=sharing,BASIC
Happy,,Pat chest with both hands in upward motion,I am so happy today!,beginner,FALSE,FALSE,2025-07-02T14:53:25.051290,2025-07-02T14:53:25.051292,https://drive.google.com/file/d/1HUjFYbNx4TsGhwupRh6dZbS5ov8Urtte/view?usp=sharing,BASIC
Sad,,Both hands slide down face like tears,She looks very sad.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051295,2025-07-02T14:53:25.051297,https://drive.google.com/file/d/1DWnsrZdoTleODdPMk6hJ7iCUMZ2_q6OT/view?usp=sharing,BASIC
Angry,,Make claws near face and pull them down,He is angry about the delay.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051300,2025-07-02T14:53:25.051302,https://drive.google.com/file/d/1O6VR1BxmvY9CfGlngROYb5HdYlUedf_1/view?usp=sharing,BASIC
Scared,,Both hands suddenly open near chest as if startled,I am scared of spiders.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051305,2025-07-02T14:53:25.051307,,BASIC
Excited,,Both hands alternate patting chest rapidly,I'm excited about the trip!,beginner,FALSE,FALSE,2025-07-02T14:53:25.051310,2025-07-02T14:53:25.051312,https://drive.google.com/file/d/1vVhcXkebwCHVIRCcW0lxKx-hx5cbZHwZ/view?usp=sharing,BASIC
Hot,,"Hold hand near mouth, then quickly move it away",The weather is very hot.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051315,2025-07-02T14:53:25.051317,https://drive.google.com/file/d/1VVTblltdniuxMKIhpssgerw5scToVuL-/view?usp=sharing,BASIC
Cold,,Hug yourself and shiver,It's cold outside today.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051320,2025-07-02T14:53:25.051322,https://drive.google.com/file/d/14IAmAp9nLXJFACLYD0uGI6RIF32dhoQ2/view?usp=sharing,BASIC
Rain,,Both hands wiggle fingers downward like falling rain,It might rain tonight.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051325,2025-07-02T14:53:25.051327,https://drive.google.com/file/d/1inbpX6bW6Y36a3M8RIDSTJpjcZw4LTr7/view?usp=sharing,BASIC
Sun,,"Make circle with finger, then spread fingers like rays",The sun is shining brightly.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051330,2025-07-02T14:53:25.051332,https://drive.google.com/file/d/1isUFEkLWnOSlgtetVu8ZFRbjiTOmkMXo/view?usp=sharing,BASIC
Moon,,Make crescent shape with thumb and index finger,The moon is full tonight.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051335,2025-07-02T14:53:25.051337,https://drive.google.com/file/d/1Q8s7w76vAuExt_XHh_Y376_RW0bcr5Wx/view?usp=sharing,BASIC
Star,,Point index fingers up and move them back and forth,I can see many stars.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051341,2025-07-02T14:53:25.051342,https://drive.google.com/file/d/1JXo9xsdhfZZrHbFRK6p4y8Lnr8IQw4oD/view?usp=sharing,BASIC
Sky,,Both hands sweep overhead from side to side,The sky is clear today.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051346,2025-07-02T14:53:25.051348,https://drive.google.com/file/d/14LDXK2_9nkG45F3YaSBzaTFEBAdzbOOz/view?usp=sharing,BASIC
Day,,"Point to sun, then sweep arm across sky",Have a wonderful day!,beginner,FALSE,FALSE,2025-07-02T14:53:25.051351,2025-07-02T14:53:25.051353,https://drive.google.com/file/d/1LWyb6guFVIpeceNJIgQMQ6TBylmbakYX/view?usp=sharing,BASIC
Night,,"Left arm horizontal, right hand goes down behind it","Good night, sleep well.",beginner,FALSE,FALSE,2025-07-02T14:53:25.051356,2025-07-02T14:53:25.051358,https://drive.google.com/file/d/1CdEwzAUtxv5CLwLWdqbt_xzYOmFsm_5V/view?usp=sharing,BASIC
Today,,Sign 'now' and 'day' together,Today is a special day.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051361,2025-07-02T14:53:25.051363,https://drive.google.com/file/d/19VdwmISY2LKgXsWhQybRChpE8CLunWNR/view?usp=sharing,BASIC
Tomorrow,,"Thumb touches cheek, then moves forward",I'll see you tomorrow.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051366,2025-07-02T14:53:25.051368,https://drive.google.com/file/d/1xx70VX3Yr8068kzsTXEUXkMWoYpro89Y/view?usp=sharing,BASIC
Yesterday,,"Thumb touches cheek, then moves backward",Yesterday was fun.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051371,2025-07-02T14:53:25.051373,https://drive.google.com/file/d/1kKm6s2OFHPVg2k7OmJgfUU7tSO1HQ0JM/view?usp=sharing,BASIC
Now,,Both hands drop down with palms facing down,We need to leave now.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051376,2025-07-02T14:53:25.051378,https://drive.google.com/file/d/1u0qeMwwDXjK40HX8REMV05xA_pDKVu1b/view?usp=sharing,BASIC
Later,,"Thumb and index finger in 'L' shape, move forward",I'll call you later.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051381,2025-07-02T14:53:25.051383,https://drive.google.com/file/d/1rCkf9jG7LuUt4q1o7Yu_Ji7eJOjZA48w/view?usp=sharing,BASIC
Before,,Both hands move backward,I arrived before you.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051386,2025-07-02T14:53:25.051388,https://drive.google.com/file/d/10xwrSErvsTGw6yiNyKbYZU1SLytMxKey/view?usp=sharing,BASIC
After,,Both hands move forward,Let's meet after work.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051391,2025-07-02T14:53:25.051393,https://drive.google.com/file/d/1HrWQy-3DrGTVnqIbiRe7tuEdbjvrZbiy/view?usp=sharing,BASIC
Inside,,Put one hand inside the other cupped hand,The keys are inside the bag.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051396,2025-07-02T14:53:25.051398,https://drive.google.com/file/d/1llDkJQM7L-HHl2hBCkTMiknyEAAzW4Q9/view?usp=sharing,BASIC
Outside,,Take one hand out of the other cupped hand,Let's go outside.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051401,2025-07-02T14:53:25.051403,https://drive.google.com/file/d/1gIcnl_PcpooQ-eXCuBaHObKbos1eNOjl/view?usp=sharing,BASIC
Open,,"Both hands flat, move them apart",Please open the door.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051407,2025-07-02T14:53:25.051410,https://drive.google.com/file/d/1OdT6haW4mKCWAJn2m-4VUOlp_DvVmJ08/view?usp=sharing,BASIC
Close,,"Both hands flat, bring them together",Close the window.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051415,2025-07-02T14:53:25.051419,https://drive.google.com/file/d/1C7IKV-o2tw2s4SejZDIVgibMhnabXfGe/view?usp=sharing,BASIC
Big,,Both hands spread wide apart,That's a big house.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051424,2025-07-02T14:53:25.051427,https://drive.google.com/file/d/1fYlXCKNNo8Xy0aggwQ0pPVTtbKU5Oqnk/view?usp=sharing,BASIC
Small,,Both hands close together,She has a small dog.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051433,2025-07-02T14:53:25.051436,https://drive.google.com/file/d/1gqUQfEehIZWTwt_iN3UXHbW335fnYW4n/view?usp=sharing,BASIC
Tall,,One hand moves up from the other,He is very tall.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051442,2025-07-02T14:53:25.051446,https://drive.google.com/file/d/1oTv63IO665ieL3BOIY4lhfWLaY2j6hCH/view?usp=sharing,BASIC
Short,,One hand shows short distance from the other,The grass is short.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051451,2025-07-02T14:53:25.051454,https://drive.google.com/file/d/1aEc1Rts5gcgYJVGvlm-K0xzdwO5tkbSy/view?usp=sharing,BASIC
Fast,,Both hands move quickly forward,The car is very fast.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051460,2025-07-02T14:53:25.051462,https://drive.google.com/file/d/1IPsMdQgsIGFioYHkG3Qa1MN62UkOYPwU/view?usp=sharing,BASIC
Slow,,Both hands move slowly,Please drive slow.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051466,2025-07-02T14:53:25.051468,https://drive.google.com/file/d/1cGoMGIh_BZuSjst-aKBEcABTRac7gDhb/view?usp=sharing,BASIC
Clean,,One hand wipes the other palm,The house is very clean.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051472,2025-07-02T14:53:25.051474,https://drive.google.com/file/d/1wHJ3NnTnVjrqvnwb2s1Ms3B3MNVd5yko/view?usp=sharing,BASIC
Dirty,,Wiggle fingers under chin,My clothes are dirty.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051478,2025-07-02T14:53:25.051480,,BASIC
Beautiful,,"Circle face with hand, then close fingers",She is very beautiful.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051483,2025-07-02T14:53:25.051485,https://drive.google.com/file/d/1n4d78NhkBEU3l3gkYYkeeFcHx7nj2me6/view?usp=sharing,BASIC
Ugly,,Index finger moves across nose sideways,That's an ugly color.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051488,2025-07-02T14:53:25.051490,https://drive.google.com/file/d/1m5YgqBsvpdydGGnMVzlm5nnR3mT62tWx/view?usp=sharing,BASIC
Good,,Thumbs up,That's a good idea.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051493,2025-07-02T14:53:25.051495,https://drive.google.com/file/d/1j4kiCENBVD6--w3P_PJQCpRTN9ZcuAfO/view?usp=sharing,BASIC
Bad,,Thumbs down,This is bad news.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051498,2025-07-02T14:53:25.051500,https://drive.google.com/file/d/1WcuZc-1DlEvmVZezQJXeJy4tVdDkSQPc/view?usp=sharing,BASIC
Right,,Point with index finger to the right,Turn right at the corner.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051503,2025-07-02T14:53:25.051505,https://drive.google.com/file/d/18qR6LRLKo9yMF2gny6eBwNh2MgM7vJm5/view?usp=sharing,BASIC
Wrong,,Shake index finger side to side,That answer is wrong.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051508,2025-07-02T14:53:25.051510,https://drive.google.com/file/d/16fWjD1sU_tczbCVwiF1K3DXyumGsfOFt/view?usp=sharing,BASIC
Love,,Cross arms over chest,I love my family.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051513,2025-07-02T14:53:25.051515,https://drive.google.com/file/d/1MaD4acoWdFzNyho7dTDMUzDiIbOXpH4d/view?usp=sharing,BASIC
Like,,Thumb and middle finger pull away from chest,I like ice cream.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051518,2025-07-02T14:53:25.051520,https://drive.google.com/file/d/1Xmr6zVoBZZOYlIIvKczKcWfEnwyJLcou/view?usp=sharing,BASIC
Dislike,,Thumb and middle finger push away from chest,I dislike loud music.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051524,2025-07-02T14:53:25.051526,,BASIC
Hate,,Middle finger flicks away from thumb,I hate waiting in line.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051529,2025-07-02T14:53:25.051531,https://drive.google.com/file/d/1t1Zkx9WBKRgNml9cMChx_o9K_LhQ_7Tq/view?usp=sharing,BASIC
Smile,,Index fingers trace smile on face,Your smile is beautiful.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051534,2025-07-02T14:53:25.051536,https://drive.google.com/file/d/1q2510RTDKjjFQKJc4JfBLLROI5Z5SROz/view?usp=sharing,BASIC
Laugh,,Index fingers flick up from corners of mouth,That joke made me laugh.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051539,2025-07-02T14:53:25.051541,https://drive.google.com/file/d/1Od7u2SpZQJxa5b8hB7zdizWPvyOqRs1A/view?usp=sharing,BASIC
Cry,,Index fingers trace tears down cheeks,The movie made me cry.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051544,2025-07-02T14:53:25.051546,https://drive.google.com/file/d/1Ig8BRVHldHSHVtkXP2CnD4NuHeqF3Pr4/view?usp=sharing,BASIC
Bored,,Index finger twists at nose,I'm bored at home.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051550,2025-07-02T14:53:25.051552,https://drive.google.com/file/d/1PZAelTSM3EUXDKdJ-zkY6jCdO14bz15Y/view?usp=sharing,BASIC
Busy,,Both hands move quickly back and forth,I'm too busy to talk.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051555,2025-07-02T14:53:25.051557,https://drive.google.com/file/d/1V45XQgyLDdHEnGH2FKwOHRwJn-oUmpRE/view?usp=sharing,BASIC
Free,,Both hands break apart from bound position,Are you free tomorrow?,beginner,FALSE,FALSE,2025-07-02T14:53:25.051560,2025-07-02T14:53:25.051562,https://drive.google.com/file/d/1QhJN9rO5GEfJCF-_7VC2fMFmBzpjpoSH/view?usp=sharing,BASIC
Money,,Tap palm with fingertips,I need more money.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051566,2025-07-02T14:53:25.051567,https://drive.google.com/file/d/1_awlaH_i5QWPZdme2U2xwH-a2-NV9IJ3/view?usp=sharing,BASIC
Phone,,Hold hand to ear like holding a phone,My phone is ringing.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051571,2025-07-02T14:53:25.051573,https://drive.google.com/file/d/1JqexNeiirf8hQJBoIPqgsnLEFpVC-OJf/view?usp=sharing,BASIC
Call,,Thumb and pinky extended to ear and mouth,I'll call you tonight.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051576,2025-07-02T14:53:25.051578,https://drive.google.com/file/d/1De_Z4trQ2CEWDkjT-2FfWNg0dOOHxmBB/view?usp=sharing,BASIC
Message,,Fingertips tap on palm,Send me a message.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051581,2025-07-02T14:53:25.051583,https://drive.google.com/file/d/1xLvSJ9GDt7_MH6n7ftU1wj-cFG7w7a6U/view?usp=sharing,BASIC
Video,,"Make rectangle with fingers, then point to eyes",Let's watch a video.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051586,2025-07-02T14:53:25.051588,https://drive.google.com/file/d/1828alhNgmbOzdmInGwLyj0Xk1x33ZA6_/view?usp=sharing,BASIC
Computer,,Type with both hands,I work on my computer.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051594,2025-07-02T14:53:25.051598,https://drive.google.com/file/d/1kQB72HQC5U9MfamONN41x7ezTnz8bCOe/view?usp=sharing,BASIC
Internet,,Both hands make connecting motions,The internet is slow today.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051603,2025-07-02T14:53:25.051607,https://drive.google.com/file/d/1r8PNy19Wt_t10egWA4ILoD3elJ76vedO/view?usp=sharing,BASIC
Camera,,Pretend to hold camera and take picture,I forgot my camera.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051613,2025-07-02T14:53:25.051616,https://drive.google.com/file/d/1blgTWgbKr0fc9elpSMSDPygSo8fu_RPo/view?usp=sharing,BASIC
Bag,,Pretend to hold bag handles,My bag is heavy.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051622,2025-07-02T14:53:25.051625,https://drive.google.com/file/d/1pMYPlTDmL_yi7k_FqWP4GyNjJzsAZsHw/view?usp=sharing,BASIC
Shoes,,Knock fists together,I need new shoes.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051628,2025-07-02T14:53:25.051630,https://drive.google.com/file/d/10_hNdOHPyzq0en73x8pQF2zJcTLwzSxL/view?usp=sharing,BASIC
Clothes,,Brush hands down chest,I need to buy clothes.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051633,2025-07-02T14:53:25.051635,https://drive.google.com/file/d/11iaCoaSlMfpoX5HJWTol5oi5MjyVYjwg/view?usp=sharing,BASIC
